id,name_hu,name_de,name_en,locality,region,region_de,region_en,type,category,difficulty,difficulty_de,difficulty_en,distance_km,duration_min,elevation_gain_m,intro,intro_de,intro_en,highlights,highlights_de,highlights_en,access_notes,access_notes_de,access_notes_en,opening_info,opening_info_de,opening_info_en,ticket_info,ticket_info_de,ticket_info_en,website,phone,latitude,longitude,photo,photo_source,map_link,status,last_verified
balederics-rem-kastely,Balatonlederics rém kastély,Geisterschloss Balatonederics,"Haunted Castle, Balatonederics",Balatonederics,Észak,Nord,North,Belepos,POI,Könnyű,Leicht,Easy,,,,"„ Ide figyelj, ha nem félsz egy kis borzongástól: a Fekete-kastély valóságos helyszíne a Balaton legvadabb legendáinak! Ebben az épületben egymást érték a tragédiák: árulások, gyilkosság, sorozatos öngyilkosságok, sőt, még egy nemzetközi kettős ügynök is megfordult a falai között. Bár ma már elhanyagolt, a sűrű parkban sétálva szinte hallani a régmúlt drámai eseményeinek suttogását. Ha szereted a titkokat és a történelmi rejtélyeket, ne hagyd ki a Balaton legmisztikusabb, fekete özvegyéről elhíresült helyszínét!”","""Hör gut zu, wenn du keine Angst vor ein wenig Grusel hast: Das Schwarze Schloss ist der wahre Schauplatz der wildesten Legenden des Plattensees! In diesem Gebäude jagte eine Tragödie die nächste: Verrat, Mord, eine Serie von Selbstmorden und sogar ein internationaler Doppelagent verkehrte einst in diesen Mauern. Obwohl es heute vernachlässigt ist, kann man beim Spaziergang durch den dichten Park fast das Wispern der dramatischen Ereignisse längst vergangener Zeiten hören. Wenn du Geheimnisse und historische Rätsel liebst, solltest du dir den mystischsten Ort des Balatons, der für seine „schwarze Witwe“ berüchtigt ist, nicht entgehen lassen!"" ","""Listen closely, if you're not afraid of a little chill: the Black Castle is the actual setting for the wildest legends of Lake Balaton! This building has seen a string of tragedies: betrayals, murder, a series of suicides, and even an international double agent once walked within its walls. Although it stands neglected today, as you walk through the dense park, you can almost hear the whispers of dramatic events from the distant past. If you love secrets and historical mysteries, don't miss Lake Balaton's most mystical site, infamous for its 'black widow' legacy!"" ",,,,,,,Szezonális; indulás előtt érdemes ellenőrizni.,Saisonal; vor dem Besuch die aktuellen Informationen prüfen.,Seasonal; check the current information before your visit.,Belépős látnivaló; az aktuális árak a helyszínen elérhetők.,Eintrittspflichtige Sehenswürdigkeit; die aktuellen Preise sind vor Ort erhältlich.,Ticketed attraction; current prices are available on site.,,,46.78856244137212,17.377112926201196,,,,to-verify,2025-10-06
bszemes-mindszent-palos-kolostor,Balatonszemes mindszent pálos kolostor,Mindszent-Paulinerkloster Balatonszemes,"Mindszent Pauline Monastery, Balatonszemes",Balatonszemes,Dél,Süd,South,Poi,Rom/Vár,Közepes,Mittel,Moderate,,,,"„ Képzeld el, ahogy itt sétálsz a falak között, ahol évszázadokkal ezelőtt még fehér ruhás szerzetesek gyűjtöttek gyógynövényeket. A romok között bolyongva szinte hallani a régmúlt idők moraját. Tökéletes helyszín egy kis romantikus borzongásra és történelmi nyomozásra, mintha egy Indiana Jones film főszereplője lennél! Ne felejtsd el megkeresni a legszebb fotópontot a boltívek alatt!”","""Stell dir vor, wie du hier zwischen den Mauern wandelst, wo vor Jahrhunderten noch Mönche in weißen Gewändern Heilkräuter sammelten. Beim Umherstreifen durch die Ruinen kann man fast das Rauschen vergangener Zeiten hören. Es ist der perfekte Ort für ein wenig romantischen Schauder und historische Nachforschungen – ganz so, als wärst du die Hauptfigur in einem Indiana-Jones-Film! Vergiss nicht, den schönsten Fotospot unter den Steinbögen ausfindig zu machen!""
","""Imagine yourself walking here among the walls where, centuries ago, monks dressed in white used to gather medicinal herbs. Wandering through the ruins, you can almost hear the echoes of times long past. It is the perfect setting for a bit of romantic suspense and historical investigation, as if you were the protagonist of an Indiana Jones movie! Don't forget to find the most beautiful photo spot beneath the stone arches!"" ",,,,,,,,,,,,,,,46.77177563623866,17.792045537840863,,,,to-verify,2025-10-06
salfold-palos-kolostor-kotenger,"Salföld pálos kolostor, kőtenger",Paulinerkloster und Steinmeer Salföld,Salföld Pauline Monastery and Stone Sea,Salföld,Észak,Nord,North,Poi,Rom/Vár,Közepes,Mittel,Moderate,,,,"„ A Salföldi Kőtenger sziklái olyanok, mintha egy óriás a Balatonból szedte volna össze a kavicsokat, majd szerteszórta volna. Csodálatos, misztikus formák, amik a képzeletedre bízzák, mit látsz bennük: sárkányt, teknőst vagy egy elvarázsolt várat. Mindezek mellett itt találod a környék legszebb fekvésű kolostorromját is, ami csak még jobban alátámasztja a táj különleges, varázslatos hangulatát. Készen állsz a geológiai nyomozásra?”","""Die Felsen des Salfölder Steinmeeres sehen aus, als hätte ein Riese Kieselsteine aus dem Balaton gesammelt und sie dann weit verstreut. Es sind wundervolle, mystische Formen, die es deiner Fantasie überlassen, was du in ihnen siehst: einen Drachen, eine Schildkröte oder eine verzauberte Burg. Daneben findest du hier auch die am schönsten gelegene Klosterruine der Gegend, ami die besondere, magische Atmosphäre der Landschaft nur noch mehr unterstreicht. Bist du bereit für eine geologische Spurensuche?"" ","""The rocks of the Salföld Sea of Stones look as if a giant had gathered pebbles from Lake Balaton and scattered them all around. They are wonderful, mystical shapes that leave it to your imagination to decide what you see: a dragon, a turtle, or an enchanted castle. Besides all this, you'll find the most beautifully situated monastery ruins in the area here, which only further enhances the unique, magical atmosphere of the landscape. Are you ready for some geological investigation?"" ",,,,,,,,,,,,,,,46.81969349288219,17.5413270558647,,,,to-verify,2025-10-06
fulei-szoborpark,Fülei szoborpark,Skulpturenpark Füle,Füle Sculpture Park,Füle,Kelet,Ost,East,Poi,Szobor/Emlékhely,Könnyű,Leicht,Easy,,,,"„ Lépj be a fülei meseparkba, ahol a fák között váratlanul szobrok bukkannak fel, mintha a természet hívta volna őket életre. Ez nem egy unalmas tárlat, hanem egy szabad ég alatti, kreatív játszótér! Engedd szabadjára a fantáziádat, és találj ki történeteket a furcsa formákhoz. Ha szerencséd van, még az alkotóval is összefuthatsz!”","""Tritt ein in den Märchenpark von Füle, wo zwischen den Bäumen unerwartet Skulpturen auftauchen, als hätte die Natur selbst sie zum Leben erweckt. Dies ist keine langweilige Ausstellung, sondern ein kreativer Spielplatz unter freiem Himmel! Lass deiner Fantasie freien Lauf und erfinde Geschichten zu den seltsamen Formen. Wenn du Glück hast, triffst du sogar den Künstler persönlich!"" ","""Step into the fairytale park of Füle, where sculptures unexpectedly emerge from among the trees, as if nature itself had called them to life. This isn’t a boring exhibition, but a creative open-air playground! Let your imagination run wild and make up stories for the curious shapes. If you’re lucky, you might even bump into the artist himself!"" ",,,,,,,,,,,,,,,47.04996672653353,18.24417543786222,,,,to-verify,2025-10-06
balamadi-kezfogas-europa-szoborpark,Balatonalmádi kézfogás Európa szoborpark,"Skulpturenpark „Handschlag Europas“, Balatonalmádi","Handshake of Europe Sculpture Park, Balatonalmádi",Balatonalmádi,Észak,Nord,North,Poi,Szobor/Emlékhely,Könnyű,Leicht,Easy,,,,"„ Itt aztán tényleg kéz a kézben jár az európai egység! A szoborpark a különböző nemzetek művészeinek alkotásait gyűjti össze, egy vidám kulturális kavalkádot kínálva a Balaton partján. Sétálj végig a ""barátság sugárútján"", és ismerkedj meg a külföldi tehetségek által formált, néha vicces, néha elgondolkodtató figurákkal. Tökéletes helyszín a nemzetközi szelfikhez!”","""Hier geht die europäische Einheit wirklich Hand in Hand! Der Skulpturenpark versammelt die Werke von Künstlern verschiedenster Nationen und bietet ein fröhliches kulturelles Kaleidoskop am Ufer des Plattensees. Spaziere entlang der „Allee der Freundschaft“ und lerne die von ausländischen Talenten geformten, mal lustigen, mal nachdenklichen Figuren kennen. Ein perfekter Ort für internationale Selfies!"" ","""European unity truly goes hand in hand here! This sculpture park brings together the works of artists from various nations, offering a cheerful cultural medley on the shores of Lake Balaton. Stroll along the 'Avenue of Friendship' and get to know the figures shaped by foreign talents—some funny, some thought-provoking. It is the perfect location for some international selfies!"" ",,,,,,,,,,,,,,,47.02881334463014,18.01628067272488,,,,to-verify,2025-10-06
cinege-forras,Cinege-forrás,Cinege-Quelle,Cinege Spring,Siófok,Kelet,Ost,East,Poi,Forrás,Könnyű,Leicht,Easy,,,,"„ Ki ne szeretne egy helyet, ahol a cinegék éneke kíséri a forrás csobogását? Ez a forrás a frissesség és a nyugalom szigete az erdő közepén. Hidd el, a vize olyan tiszta és hűs, mintha a legmélyebb erdő rejtette volna. Töltsd fel a kulacsod, és élvezd a békés erdei hangulatot, mintha tündérmesébe csöppentél volna.”","""Wer würde nicht einen Ort lieben, an dem der Gesang der Meisen das Plätschern der Quelle begleitet? Diese Quelle ist eine Insel der Frische und Ruhe mitten im Wald. Glaub mir, ihr Wasser ist so klar und kühl, als hätte es der tiefste Urwald verborgen. Füll deine Trinkflasche auf und genieße die friedliche Waldatmosphäre, als wärst du in ein Märchen eingetaucht."" ","""Who wouldn't love a place where the chirping of titmice accompanies the bubbling of a spring? This spring is an island of freshness and tranquility in the middle of the forest. Believe me, its water is as clear and cool as if it had been hidden by the deepest woods. Fill up your water bottle and enjoy the peaceful forest atmosphere, as if you’ve stepped right into a fairytale."" ",,,,,,,,,,,,,,,46.84411688517368,18.01929261086182,,,,to-verify,2025-10-06
keszthely-fenyves-alle-keszthely,Keszthely fenyves alle,Kiefernallee Keszthely,"Pine Avenue, Keszthely",Keszthely,Nyugat,West,West,Poi,POI,Könnyű,Leicht,Easy,,,,"„ A Fenyves allé olyan, mint egy zöld alagút, ami egyenesen a mesés Festetics-kastélyhoz vezet. A fák felett magasan összeboruló lombkorona egy hűsítő, zöld kupolát alkot, ami még a legmelegebb nyári napokon is kellemes sétaélményt nyújt. Gyere és sétálj egyet a grófi idők romantikus hangulatában, mintha egy 19. századi filmstúdióban lennél!”","""Die Fenyves-Allee ist wie ein grüner Tunnel, der direkt zum fabelhaften Schloss Festetics führt. Das hoch über den Köpfen zusammengewachsene Blätterdach bildet eine kühlende, grüne Kuppel, die selbst an den heißesten Sommertagen ein angenehmes Spaziergangerlebnis bietet. Komm und flaniere im romantischen Ambiente der Grafenzeit, als wärst du in einer Filmkulisse des 19. Jahrhunderts!"" ","""The Fenyves Allee is like a green tunnel leading straight to the fabulous Festetics Palace. The high, interlocking canopy of the trees forms a cooling green dome, providing a pleasant walking experience even on the hottest summer days. Come and take a stroll in the romantic atmosphere of the countly era, as if you were on a 19th-century film set!"" ",,,,,,,,,,,,,,,46.75507733452663,17.225939195511394,,,,to-verify,2025-10-06
helikon-park,Helikon park,Helikon-Park,Helikon Park,Keszthely,Nyugat,West,West,Poi,Park/Sétány,Könnyű,Leicht,Easy,,,,"„ Keszthely városának ékköve, ahol szobrok és szökőkutak versengenek a legszebb látványért. Ez a park nem csak egy egyszerű zöld terület, hanem egy történelmi és irodalmi emlékhely is, ahol a fák alatt sétálva a régi költők szellemével találkozhatsz. Keress egy padot, és élvezd a tökéletes nyugalmat a Balaton közelében. Ideális helyszín egy elmélyült olvasásra vagy egy titkos randira.”","""Das Juwel der Stadt Keszthely, wo Statuen und Springbrunnen um den schönsten Anblick wetteifern. Dieser Park ist nicht nur eine einfache Grünfläche, sondern auch eine historische und literarische Gedenkstätte, in der man beim Spaziergang unter den Bäumen dem Geist alter Dichter begegnen kann. Such dir eine Bank und genieße die vollkommene Ruhe in der Nähe des Plattensees. Ein idealer Ort für eine vertiefte Lektüre oder ein geheimes Date."" ","""The jewel of Keszthely, where statues and fountains compete for the most beautiful view. This park is not just a simple green space, but a historical and literary memorial site where, walking beneath the trees, you can encounter the spirit of poets from long ago. Find a bench and enjoy the perfect tranquility near Lake Balaton. It’s an ideal setting for deep reading or a secret date."" ",,,,,,,,,,,,,,,46.76131031448672,17.24775700900414,,,,to-verify,2025-10-06
keszthelyi-festetics-kastely-keszthely,Keszthelyi Festetics-kastély,Festetics-Palast Keszthely,"Festetics Palace, Keszthely",Keszthely,Nyugat,West,West,Belepos,POI,Könnyű,Leicht,Easy,,,,"„ A Balaton talán legmesésebb kastélya, ahol a pompa és a történelem találkozik! Készülj fel egy igazi hercegnői/hercegi élményre, hiszen a kastély egykor a Festetics család otthona volt, és a bálok, a vadászatok és a titkos szerelmek színtere. Ne hagyd ki a lenyűgöző könyvtárat, ami maga a tudás temploma, és sétálj egyet a hatalmas, angol stílusú parkban!”","""Das wohl märchenhafteste Schloss am Plattensee, wo Prunk und Geschichte aufeinandertreffen! Mach dich bereit für ein echtes Prinzessinnen- oder Prinzenerlebnis, denn das Schloss war einst das Zuhause der Familie Festetics und Schauplatz von Bällen, Jagden und heimlichen Romanzen. Lass dir die beeindruckende Bibliothek – einen wahren Tempel des Wissens – nicht entgehen und spazier durch den riesigen Park im englischen Stil!"" ","""Perhaps the most fabulous castle of Lake Balaton, where splendor and history meet! Prepare for a true princess or princely experience, as this palace was once the home of the Festetics family and the setting for grand balls, hunts, and secret romances. Don't miss the breathtaking library, which is a temple of knowledge itself, and take a stroll through the vast, English-style park!"" ",,,,,,,Szezonális; indulás előtt érdemes ellenőrizni.,Saisonal; vor dem Besuch die aktuellen Informationen prüfen.,Seasonal; check the current information before your visit.,Belépős látnivaló; az aktuális árak a helyszínen elérhetők.,Eintrittspflichtige Sehenswürdigkeit; die aktuellen Preise sind vor Ort erhältlich.,Ticketed attraction; current prices are available on site.,,,46.77112557323968,17.241753807153653,,,,to-verify,2025-10-06
keszthely-agancs-totem-keszthely,Keszthely Agancs totem,Geweih-Totem Keszthely,"Antler Totem, Keszthely",Keszthely,Nyugat,West,West,Poi,Szobor/Emlékhely,Könnyű,Leicht,Easy,,,,"„ Ez a monumentális totem nem csak egy szobor, hanem a helyi vadászkultúra és a természet tiszteletének jelképe. Az agancsokból készült alkotás a Balaton-felvidéki erdők gazdagságát hirdeti, egyedi és fotogén látványt nyújtva a város közepén. Próbáld meg megszámolni, hány agancsot használtak fel hozzá – jó kis fejtörő lesz!”","""Dieses monumentale Totem ist nicht nur eine Skulptur, sondern ein Symbol der lokalen Jagdkultur und des Respekts vor der Natur. Das aus Geweihen gefertigte Kunstwerk verkündet den Reichtum der Wälder des Balaton-Oberlandes und bietet einen einzigartigen und fotogenen Anblick mitten in der Stadt. Versuch mal zu zählen, wie viele Geweihe dafür verwendet wurden – das wird ein schönes Rätsel!"" ","""This monumental totem is not just a sculpture, but a symbol of local hunting culture and respect for nature. Crafted from antlers, this artwork proclaims the richness of the Balaton Uplands forests, providing a unique and photogenic sight in the heart of the city. Try to count how many antlers were used to create it – it’s quite a brain teaser!"" ",,,,,,,,,,,,,,,46.771227527793215,17.236944009004894,,,,to-verify,2025-10-06
